# Copyright (C) 2011 The Libphonenumber Authors

# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at

# http://www.apache.org/licenses/LICENSE-2.0

# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# Generated from: translation of
# http://www.itu.int/oth/T0202000072/en [2004-03-01]
# http://en.wikipedia.org/wiki/+82 [390794641]

822|서울
8231|경기
8232|인천
8233|강원
8241|충남
8242|대전
8243|충북
8244|세종
8251|부산
8252|울산
8253|대구
8254|경북
8255|경남
8261|전남
8262|광주
8263|전북
8264|제주
